cluster,label,size,top_keywords,top_titles
57,Unsupervised Learning / Representation Learning / Deep learning / Computer vision / Developments,85795,"Unsupervised Learning, Representation Learning, Deep learning, Computer vision, Developments","Deep Learning for Visual Understanding: A Review. || Attribute Surrogates Learning and Spectral Tokens Pooling in Transformers for Few-shot Learning || Ivs-Net: Learning Human View Synthesis from Internet Videos || The ""something Something"" Video Database for Learning and Evaluating Visual Common Sense. || DINOv2: Learning Robust Visual Features Without Supervision"
3,Medical image segmentation / Deep learning / SBC-UNet / center dot Convolutional Neural Network / center dot Transformer,4171,"Medical image segmentation, Deep learning, SBC-UNet, center dot Convolutional Neural Network, center dot Transformer",SBC-UNet: A Network Based on Improved Hourglass Attention Mechanism and U-Net for Medical Image Segmentation. || Labelling with Dynamics: A Data-Efficient Learning Paradigm for Medical Image Segmentation || A Hybrid Feature Fusion Deep Learning Framework for Multi-Source Medical Image Analysis || Optimized Deep Learning Model for Comprehensive Medical Image Analysis Across Multiple Modalities || Efficient UNet Fusion of Convolutional Neural Networks and State Space Models for Medical Image Segmentation
74,machine learning / Prognostics and health management / Monitoring / Intelligent fault diagnosis / Domain adaptation,4134,"machine learning, Prognostics and health management, Monitoring, Intelligent fault diagnosis, Domain adaptation",Intelligent Fault Diagnosis by Fusing Domain Adversarial Training and Maximum Mean Discrepancy Via Ensemble Learning. || A Novel Online Sequential Extreme Learning Machine for Gas Utilization Ratio Prediction in Blast Furnaces || A Multi-Task Learning Approach with Meta Auxiliary Generation Network for Remaining Useful Life Estimati || Intelligent Fault Diagnosis for Unbalanced Battery Data Using Adversarial Domain Expansion and Enhanced Stochastic Configuration Networks || Using Deep Learning-Based Approach to Predict Remaining Useful Life of Rotating Components
46,Visual Question Answering / Language Modeling / visual recognition / Representation Learning / Language Understanding,4079,"Visual Question Answering, Language Modeling, visual recognition, Representation Learning, Language Understanding",Vision-Language Models for Vision Tasks: A Survey || Matcher: Segment Anything with One Shot Using All-Purpose Feature Matching. || Training Vision-Language Transformers from Captions || EVE: Efficient Vision-Language Pre-training with Masked Prediction and Modality-Aware MoE. || Data-efficient Large Vision Models Through Sequential Autoregression
84,Data models / Prognostics and health management / remaining useful life (RUL) prediction / Feature extraction / Training,3968,"Data models, Prognostics and health management, remaining useful life (RUL) prediction, Feature extraction, Training",A Multi-Task Learning Approach with Meta Auxiliary Generation Network for Remaining Useful Life Estimati || A Lightweight and Adaptive Knowledge Distillation Framework for Remaining Useful Life Prediction || Contrastive Domain-Invariant Generalization for Remaining Useful Life Prediction under Diverse Conditions and Fault Modes || The Artificial Neural Twin - Process Optimization and Continual Learning in Distributed Process Chains. || Trans-Lighter: A Light-Weight Federated Learning-Based Architecture for Remaining Useful Lifetime Prediction
35,Image edge detection / Convolution / Feature extraction / Accuracy / Remote sensing,3839,"Image edge detection, Convolution, Feature extraction, Accuracy, Remote sensing",LeCA: In-Sensor Learned Compressive Acquisition for Efficient Machine Vision on the Edge. || Dual-branch Collaborative Transformer for Effective Image Deraining || A Robust and Efficient Multi-Scenario Object Detection Network for Edge Devices || Deep Learning for Wireless Communications: an Emerging Interdisciplinary Paradigm || AdaPyramid: Adaptive Pyramid for Accelerating High-resolution Object Detection on Edge Devices
71,Group decision making / Uncertainty / Consensus / Data privacy / Consensus reaching process,3807,"Group decision making, Uncertainty, Consensus, Data privacy, Consensus reaching process",Integrating Experts' Weights Generated Dynamically into the Consensus Reaching Process and Its Applications in Managing Non-Cooperative Behaviors. || A Social Network Based Approach for Consensus Achievement in Multiperson Decision Making. || A New Methodology for Identifying Unreliable Sensors in Data Fusion. || An Interpretable Client Decision Tree Aggregation Process for Federated Learning || Opinion Evolution and Dynamic Trust-Driven Consensus Model in Large-Scale Group Decision-Making under Incomplete Information
50,Federated learning / Computational modeling / Data models / distributed learning / network optimization,3770,"Federated learning, Computational modeling, Data models, distributed learning, network optimization",Federated Learning in Vehicular Edge Computing: A Selective Model Aggregation Approach. || Mobile Collaborative Learning over Opportunistic Internet of Vehicles || UAV-assisted Online Machine Learning over Multi-Tiered Networks: A Hierarchical Nested Personalized Federated Learning Approach || DOGS: Dynamic Task Offloading in Space-Air-Ground Integrated Networks with Game-Theoretic Stochastic Learning || Fast-Convergent Federated Learning.
40,Attention mechanism / Feature extraction / Accuracy / Object detection / Computational modeling,3577,"Attention mechanism, Feature extraction, Accuracy, Object detection, Computational modeling",DecoupleNet: A Lightweight Backbone Network with Efficient Feature Decoupling for Remote Sensing Visual Tasks || A Multi-focus Image Fusion Network Deployed in Smart City Target Detection || Camouflaged Object Detection Via Location-Awareness and Feature Fusion || A Knowledge-Enhanced Object Detection for Sustainable Agriculture || UFO: Unified Feature Optimization
81,reinforcement learning / Intelligent logistics / logistics vehicles (LVs)-edge / multiagent deep reinforcement learning (DRL) / task offloading,3576,"reinforcement learning, Intelligent logistics, logistics vehicles (LVs)-edge, multiagent deep reinforcement learning (DRL), task offloading",Federated Multiagent Actor–Critic Learning Task Offloading in Intelligent Logistics || Trust Your Neighbours: Handling Noise in Multi-Objective Optimisation Using Knn-Averaging || Machine Learning-based Prediction of VNF Deployment Decisions in Dynamic Networks || Communication-Efficient Distributionally Robust Decentralized Learning || Hybrid Policy Learning for Multi-Agent Pathfinding
25,Language Modeling / Topic Modeling / Syntax-based Translation Models / Statistical Language Modeling / Natural Language Processing,3509,"Language Modeling, Topic Modeling, Syntax-based Translation Models, Statistical Language Modeling, Natural Language Processing","Benchmarking Generalization Via In-Context Instructions on 1, 600+ Language Tasks || OpenFlamingo: an Open-Source Framework for Training Large Autoregressive Vision-Language Models || Few-Shot Spoken Language Understanding Via Joint Speech-Text Models || Exploiting Inactive Examples for Natural Language Generation with Data Rejuvenation || MM1.5: Methods, Analysis Insights from Multimodal LLM Fine-tuning"
6,Topic Modeling / Language Modeling / Sequence-to-Sequence Learning / Visual Question Answering / Image Captioning,3478,"Topic Modeling, Language Modeling, Sequence-to-Sequence Learning, Visual Question Answering, Image Captioning","SOLAR 10.7B: Scaling Large Language Models with Simple Yet Effective Depth Up-Scaling || UnIVAL: Unified Model for Image, Video, Audio and Language Tasks || Prismer: A Vision-Language Model with an Ensemble of Experts || GneissWeb: Preparing High Quality Data for LLMs at Scale || CrossTune: Black-Box Few-Shot Classification with Label Enhancement"
29,Representation Learning / Meta-Learning / Semi-Supervised Learning / Visual Recognition / Visual Question Answering,3433,"Representation Learning, Meta-Learning, Semi-Supervised Learning, Visual Recognition, Visual Question Answering",Tokens-to-Token ViT: Training Vision Transformers from Scratch on ImageNet || Revisiting Classifier: Transferring Vision-Language Models for Video Recognition || Transferring Vision-Language Models for Visual Recognition: A Classifier Perspective || Editorial: Learning with Fewer Labels in Computer Vision || Scaling Up Visual and Vision-Language Representation Learning with Noisy Text Supervision.
72,Cloud computing / Collaboration / Near-real-time optimization / Group distributed manufacturing system / Task offloading,3410,"Cloud computing, Collaboration, Near-real-time optimization, Group distributed manufacturing system, Task offloading","Multi-agent Deep Reinforcement Learning for Task Offloading in Group Distributed Manufacturing Systems || Automated Valet Parking and Charging: A Novel Collaborative AI-Empowered Architecture || Assuring the Machine Learning Lifecycle: Desiderata, Methods, and Challenges. || When Cyber-Physical Systems Meet AI: A Benchmark, an Evaluation, and a Way Forward. || An Ensemble Learning-Based Multi-Population Evolutionary Framework for Multi-Scenario Multi-Objective Optimization Problems"
34,Task analysis / Visualization / Training / visual recognition / Deep Learning,3321,"Task analysis, Visualization, Training, visual recognition, Deep Learning",Vision-Language Models for Vision Tasks: A Survey || Scalable and Efficient MoE Training for Multitask Multilingual Models || On Efficient Training of Large-Scale Deep Learning Models: A Literature Review || GluonCV and GluonNLP: Deep Learning in Computer Vision and Natural Language Processing. || GneissWeb: Preparing High Quality Data for LLMs at Scale
42,Medical image segmentation / Image segmentation / Feature extraction / Deep learning / deep learning,3271,"Medical image segmentation, Image segmentation, Feature extraction, Deep learning, deep learning",LM-Net: A Light-Weight and Multi-Scale Network for Medical Image Segmentation. || Boosting Medical Image Segmentation Via Conditional-Synergistic Convolution and Lesion Decoupling || Adaptive Feature Aggregation Based Multi-Task Learning for Uncertainty-Guided Semi-Supervised Medical Image Segmentation. || Nnu-Net: Self-adapting Framework for U-Net-Based Medical Image Segmentation. || MR Brain Segmentation Based on DE-ResUnet Combining Texture Features and Background Knowledge
68,Computer vision / Artificial intelligence / Causality / Intuitive physics / Functionality,3262,"Computer vision, Artificial intelligence, Causality, Intuitive physics, Functionality","Dark, Beyond Deep: A Paradigm Shift to Cognitive AI with Humanlike Common Sense || Applying Machine Learning for Sensor Data Analysis in Interactive Systems: Common Pitfalls of Pragmatic Use and Ways to Avoid Them || A Backpack Full of Skills: Egocentric Video Understanding with Diverse Task Perspectives || ProtoSteer: Steering Deep Sequence Model with Prototypes || Aggregating Long-Term Context for Learning Laparoscopic and Robot-Assisted Surgical Workflows"
5,MRI / deep learning / Deep learning (DL) / domain generalization (DG) / medical image analysis (MedIA),3229,"MRI, deep learning, Deep learning (DL), domain generalization (DG), medical image analysis (MedIA)","Domain Generalization for Medical Image Analysis: A Review || Automated Cardiovascular Record Retrieval by Multimodal Learning Between Electrocardiogram and Clinical Report || MGRW-Transformer: Multigranularity Random Walk Transformer Model for Interpretable Learning || Multi-objective Optimization Determines When, Which and How to Fuse Deep Networks: an Application to Predict COVID-19 Outcomes. || UniBrain: Universal Brain MRI Diagnosis with Hierarchical Knowledge-enhanced Pre-training"
49,Task analysis / Servers / Resource management / 6G / Optimization,3133,"Task analysis, Servers, Resource management, 6G, Optimization",Scheduling Policy and Power Allocation for Federated Learning in NOMA Based MEC. || Intelligent Computation Offloading for MEC-Based Cooperative Vehicle Infrastructure System: A Deep Reinforcement Learning Approach || Dynamic Task Offloading for Multi-Uavs in Vehicular Edge Computing with Delay Guarantees: A Consensus ADMM-based Optimization || Learning-Based Flexible Cross-Layer Optimization for Ultrareliable and Low-Latency Applications in IoT Scenarios || Reconfigurable Intelligent Computational Surfaces for MEC-Assisted Autonomous Driving Networks
67,machine learning / deep learning / Deep Learning / Dynamic Test Generation / requirement specification,3067,"machine learning, deep learning, Deep Learning, Dynamic Test Generation, requirement specification",Toward Requirements Specification for Machine-Learned Components || BEHAVIOR Vision Suite: Customizable Dataset Generation Via Simulation || Transfer Learning for Improving Model Predictions in Highly Configurable Software. || Talaria: Interactively Optimizing Machine Learning Models for Efficient Inference || An Empirical Study of Common Challenges in Developing Deep Learning Applications
11,deep learning / artificial intelligence / Deep learning / optimization / Data models,3009,"deep learning, artificial intelligence, Deep learning, optimization, Data models","Deep Learning for the Industrial Internet of Things (iiot): A Comprehensive Survey of Techniques, Implementation Frameworks, Potential Applications, and Future Directions || Deep Learning in the Industrial Internet of Things: Potentials, Challenges, and Emerging Applications || Machine Learning for Microcontroller-Class Hardware: A Review || Leveraging Large Language Models for Integrated Satellite-Aerial-Terrestrial Networks: Recent Advances and Future Directions || Weather-aware Energy Management for Unmannedaerial Vehicles: a Machine Learning Application with Global Data Integration"
43,Deep learning / Attention mechanism / Computer vision / CNN / Feature Pyramid Networks,2857,"Deep learning, Attention mechanism, Computer vision, CNN, Feature Pyramid Networks",An Interconnected Feature Pyramid Networks for Object Detection || DRO: Deep Recurrent Optimizer for Video to Depth. || LSM: Learning Subspace Minimization for Low-level Vision || LightViT: Towards Light-Weight Convolution-Free Vision Transformers || 3Df-Fcos: Small Object Detection with 3d Features Based on Fcos
52,Machine learning / Deep learning / functional safety / autonomous systems / Gathering pipelines,2750,"Machine learning, Deep learning, functional safety, autonomous systems, Gathering pipelines",Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains: A Survey || Probabilistic Failure Assessment of Oil and Gas Gathering Pipelines Using Machine Learning Approach || TEA-EKHO-IDS: an Intrusion Detection System for Industrial CPS with Trustworthy Explainable AI and Enhanced Krill Herd Optimization. || Integration of Deep Learning and Bayesian Networks for Condition and Operation Risk Monitoring of Complex Engineering Systems || MLOps for Cyber-Physical Production Systems: Challenges and Solutions
27,Deep Learning / Topic Modeling / Language Modeling / Language Understanding / Semantic Reasoning,2741,"Deep Learning, Topic Modeling, Language Modeling, Language Understanding, Semantic Reasoning",GLUECons: A Generic Benchmark for Learning under Constraints || A Survey: Collaborative Hardware and Software Design in the Era of Large Language Models || GluonCV and GluonNLP: Deep Learning in Computer Vision and Natural Language Processing. || PYLON: A PyTorch Framework for Learning with Constraints. || DeepSpeed-MoE: Advancing Mixture-of-Experts Inference and Training to Power Next-Generation AI Scale
75,Data models / Predictive models / Accuracy / Predictive maintenance / machine learning,2699,"Data models, Predictive models, Accuracy, Predictive maintenance, machine learning",End-to-end Lifecycle Machine Learning Framework for Predictive Maintenance of Critical Equipment || Explainable AI Methods in Cyber Risk Management. || On the Requirements of Digital Twin-Driven Autonomous Maintenance. || Lithium-Ion Battery State of Health Degradation Prediction Using Deep Learning Approaches || Distance Aware Risk Minimization for Domain Generalization in Machine Fault Diagnosis
21,Topic Modeling / Language Modeling / Machine Translation / Agent-Based Modeling / Multi-Agent Systems,2507,"Topic Modeling, Language Modeling, Machine Translation, Agent-Based Modeling, Multi-Agent Systems",AgentOhana: Design Unified Data and Training Pipeline for Effective Agent Learning. || ProtoSteer: Steering Deep Sequence Model with Prototypes || Check Your Facts and Try Again: Improving Large Language Models with External Knowledge and Automated Feedback || Selective Annotation Makes Language Models Better Few-Shot Learners. || Mixture of Soft Prompts for Controllable Data Generation
31,Capacity / extremal rate / secure storage codes / l-MDS code / propagation rule,2432,"Capacity, extremal rate, secure storage codes, l-MDS code, propagation rule",On Extremal Rates of Storage over Graphs || On ℓ-Mds Codes and a Conjecture on Infinite Families of 1-MDS Codes || On The Complexity Of Scrypt And Proofs Of Space In The Parallel Random Oracle Model || Two Constructions of Asymptotically Optimal Codebooks || Round Elimination in Exact Communication Complexity.
4,Machine learning / Software engineering / Data cleaning / Feature engineering testing / Model testing,2232,"Machine learning, Software engineering, Data cleaning, Feature engineering testing, Model testing","On Testing Machine Learning Programs. || Software Engineering for Machine-Learning Applications: the Road Ahead. || On the Role of Machine Learning in Satellite Internet of Things: A Survey of Techniques, Challenges, and Future Directions || Explainable Unsupervised Machine Learning for Cyber-Physical Systems || AI Agents under Threat: A Survey of Key Security Challenges and Future Pathways"
2,Deep learning / Pneumonia / Computational modeling / X-ray / Deep Learning,2224,"Deep learning, Pneumonia, Computational modeling, X-ray, Deep Learning",Identity-Mapping ResFormer: A Computer-Aided Diagnosis Model for Pneumonia X-Ray Images || Improving Pneumonia Diagnosis with High-Accuracy Cnn-Based Chest X-Ray Image Classification and Integrated Gradient || LitefusionNet: Boosting the Performance for Medical Image Classification with an Intelligent and Lightweight Feature Fusion Network || Development of Debiasing Technique for Lung Nodule Chest X-ray Datasets to Generalize Deep Learning Models. || Medical Image Analysis Through Deep Learning Techniques: A Comprehensive Survey
23,Autonomous Vehicles / Language Model / Natural Language / Semi-Supervised Learning / Meta-Learning,2206,"Autonomous Vehicles, Language Model, Natural Language, Semi-Supervised Learning, Meta-Learning",LID 2020: the Learning from Imperfect Data Challenge Results. || Human Parity on CommonsenseQA: Augmenting Self-Attention with External Attention || CrowdIA: Solving Mysteries with Crowdsourced Sensemaking. || LaMPilot: an Open Benchmark Dataset for Autonomous Driving with Language Model Programs || Dynatask: A Framework for Creating Dynamic AI Benchmark Tasks
19,Deep learning / Data models / Transformers / Training / Computational modeling,2153,"Deep learning, Data models, Transformers, Training, Computational modeling",Knowledge Guided Visual Transformers for Intelligent Transportation Systems || Transformers for Imbalanced Baggage Threat Recognition || Shapley Deep Learning: A Consensus for General-Purpose Vision Systems || A Knowledge-Enhanced Object Detection for Sustainable Agriculture || Enhancing Smart Road Safety with Federated Learning for Near Crash Detection to Advance the Development of the Internet of Vehicles
18,segmentation / UNet plus plus / EfficientNet / EffUNet plus plus / FLAIR MRI,2129,"segmentation, UNet plus plus, EfficientNet, EffUNet plus plus, FLAIR MRI",Editorial: Learning with Fewer Labels in Computer Vision || TC-Net: A Joint Learning Framework Based on CNN and Vision Transformer for Multi-Lesion Medical Images Segmentation. || SCAC: A Semi-Supervised Learning Approach for Cervical Abnormal Cell Detection. || EffUNet++: A Novel Architecture for Brain Tumor Segmentation Using FLAIR MRI Images || Keypoint-Augmented Self-Supervised Learning for Medical Image Segmentation with Limited Annotation
28,Datasets and evaluation / object detection / remote sensing / 3D from multi-view and sensors / Navigation and autonomous driving,2082,"Datasets and evaluation, object detection, remote sensing, 3D from multi-view and sensors, Navigation and autonomous driving",SSN: Scale Selection Network for Multi-Scale Object Detection in Remote Sensing Images || Flow-Based Feature Fusion for Vehicle-Infrastructure Cooperative 3D Object Detection || DAIR-V2X: A Large-Scale Dataset for Vehicle-Infrastructure Cooperative 3D Object Detection || AutoMine: an Unmanned Mine Dataset || UAV-assisted Heterogeneous Multi-Server Computation Offloading with Enhanced Deep Reinforcement Learning in Vehicular Networks
0,deep learning / Deep learning / Transfer Learning / Medical Imaging / Transfer learning,1820,"deep learning, Deep learning, Transfer Learning, Medical Imaging, Transfer learning",DLTK: State of the Art Reference Implementations for Deep Learning on Medical Images. || A Critical Analysis of Deep Semi-Supervised Learning Approaches for Enhanced Medical Image Classification || Guest Editorial Annotation-Efficient Deep Learning: the Holy Grail of Medical Imaging || DeepNeuro: an Open-Source Deep Learning Toolbox for Neuroimaging || Robust Application of New Deep Learning Tools: an Experimental Study in Medical Imaging
1,Language Modeling / Neural Machine Translation / Multilingual Neural Machine Translation / Topic Modeling / Machine Translation,1495,"Language Modeling, Neural Machine Translation, Multilingual Neural Machine Translation, Topic Modeling, Machine Translation",Rethinking Machine Unlearning for Large Language Models || Making Better Use of the Crowd: How Crowdsourcing Can Advance Machine Learning Research || RedPajama: an Open Dataset for Training Large Language Models || AI Explainability 360 Toolkit || Learning to Prompt for Vision-Language Models
17,Image segmentation / UNet plus plus / Convolutional neural networks / Transformers / EfficientNet,1271,"Image segmentation, UNet plus plus, Convolutional neural networks, Transformers, EfficientNet",Medical Image Segmentation Using Squeeze-and-Expansion Transformers || Collaborative Networks of Transformers and Convolutional Neural Networks Are Powerful and Versatile Learners for Accurate 3D Medical Image Segmentation. || Super U-Net: A Modularized Generalizable Architecture. || EffUNet++: A Novel Architecture for Brain Tumor Segmentation Using FLAIR MRI Images || Segmentation of Lung Cancer-Caused Metastatic Lesions in Bone Scan Images Using Self-Defined Model with Deep Supervision
